Connecting to host server, port 5201
[  5] local 10.1.3.2 port 58844 connected to 10.1.9.2 port 5201
[  5] 265.00-266.00 sec  5.78 MBytes  48.5 Mbits/sec    0   1.68 MBytes       
[  5] 266.00-267.00 sec  5.34 MBytes  44.8 Mbits/sec    0   1.74 MBytes       
[  5] 267.00-268.00 sec  5.47 MBytes  45.9 Mbits/sec    0   1.81 MBytes       
[  5] 268.00-269.00 sec  5.82 MBytes  48.9 Mbits/sec  117   1.31 MBytes       
[  5] 269.00-270.00 sec  5.72 MBytes  48.0 Mbits/sec    0   1.45 MBytes       
[  5] 270.00-271.00 sec  5.53 MBytes  46.4 Mbits/sec    0   1.57 MBytes       
[  5] 271.00-272.00 sec  5.16 MBytes  43.3 Mbits/sec    0   1.65 MBytes       
[  5] 272.00-273.00 sec  5.84 MBytes  49.0 Mbits/sec    0   1.73 MBytes       
[  5] 273.00-274.00 sec  5.28 MBytes  44.3 Mbits/sec    0   1.78 MBytes       
[  5] 274.00-275.00 sec  5.65 MBytes  47.4 Mbits/sec    0   1.81 MBytes       
[  5] 275.00-276.00 sec  5.78 MBytes  48.5 Mbits/sec    0   1.83 MBytes       
[  5] 276.00-277.00 sec  5.47 MBytes  45.9 Mbits/sec    0   1.84 MBytes       
[  5] 277.00-278.00 sec  5.47 MBytes  45.9 Mbits/sec    0   1.85 MBytes       
[  5] 278.00-279.00 sec  5.47 MBytes  45.9 Mbits/sec    0   1.85 MBytes       
[  5] 279.00-280.00 sec  3.29 MBytes  27.6 Mbits/sec    0   1.85 MBytes       
[  5] 280.00-281.00 sec  0.00 Bytes  0.00 bits/sec    1   1.41 KBytes       
[  5] 281.00-282.00 sec  0.00 Bytes  0.00 bits/sec    1   1.41 KBytes       
[  5] 282.00-283.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
